Test group name,Sample name,Length,Width,Thickness,Speed (%/min),Force cell,Données brutes,,
,,(mm),(mm),(mm),(%),(N),,,
20240523_test_1,,0,0,0,0,100,VRAI,,
,,,,,,,,,
Tableau de résultats 1,,,,,,,,,
,Sample name,Length,Speed (%/min),Thickness,Width,Waiting time,Initial length between the clamps,Date de début,Déformation 1 longueur initiale
,,(mm),(%),(mm),(mm),(s),(mm),,(mm)
1,rtv_1mm,4.77,60,1,4,0,45,23/05/2024,4.77
,,,,,,,,,
Tableau de résultats 2,,,,,,,,,
,Sample name,Thickness,Length,Initiql length between the clamps,Speed (%/min),Initial length between the clamps,Waiting time,Date de début,
,,(mm),(mm),(mm),(%),(mm),(s),,
1,rtv_1mm,1,4,4.77,60,45,0,23/05/2024,
,,,,,,,,,
Time (s),Displacement (mm),Shifted displacement 10.89 (mm),Force (N),Strain AS (%),Stress AS (kPa),Nombre total de cycles,Nombre de cycles,Extenso strain (%),
0,11.9873,22.8773,0,-463.7887,0.0052,0,0,0.0001,
0.02,11.9873,22.8773,0.0003,-463.7883,0.0685,0,0,0.0028,
0.04,11.9874,22.8774,0.0001,-463.7862,0.0253,0,0,0.0049,
0.06,11.9875,22.8775,-0.0009,-463.784,-0.2159,0,0,0.0054,
0.08,11.9876,22.8776,-0.0009,-463.7816,-0.2209,0,0,0.0054,
0.1,11.9877,22.8777,-0.0004,-463.7791,-0.0969,0,0,0.0046,
0.12,11.9875,22.8775,-0.0001,-463.7838,-0.0164,0,0,0.0019,
0.14,11.9873,22.8773,-0.0006,-463.7874,-0.143,0,0,0.0002,
0.16,11.9874,22.8774,-0.0003,-463.787,-0.0708,0,0,-0.0002,
0.18,11.9875,22.8775,0.0001,-463.7844,0.0222,0,0,-0.0002,
0.2,11.9876,22.8776,-0.0004,-463.7812,-0.0984,0,0,-0.0009,
0.22,11.9878,22.8778,-0.0002,-463.7781,-0.0399,0,0,-0.0035,
0.24,11.9879,22.8779,-0.0002,-463.7759,-0.0551,0,0,-0.0048,
0.26,11.9879,22.8779,-0.0002,-463.775,-0.0592,0,0,-0.0062,
0.28,11.988,22.878,0.0005,-463.774,0.1131,0,0,-0.009,
0.3,11.9881,22.8781,0.0001,-463.7706,0.0133,0,0,-0.0104,
0.32,11.9884,22.8784,0.0003,-463.7648,0.0627,0,0,-0.0107,
0.34,11.9888,22.8788,0.0001,-463.756,0.0205,0,0,-0.0112,
0.36,11.9896,22.8796,0.0001,-463.7395,0.0219,0,0,-0.0137,
0.38,11.9911,22.8811,0.0003,-463.7081,0.0851,0,0,-0.0164,
0.4,11.9936,22.8836,0.001,-463.6555,0.2585,0,0,-0.0176,
0.42,11.9972,22.8872,0.0015,-463.58,0.3777,0,0,-0.0165,
